"mean","lower","upper","shape","scale","mean","variance"
0.5,0.1,1.7,1.7300898545309842,0.3954176234151701,0.6841080185733391,0.2705083668635308
6,2,7,7.313695520577241,0.571228194609322,4.177789088141623,2.386470918277664
7,3,8,11.671218415840801,0.449456402379579,5.245703840570096,2.3577151761313764
8,1,20,0.9999999894632863,1.0000000123655122,1.0000000018287982,1.0000000141943106
